index_count,rows,words
460,"[1.0, 1.0, 0.06521739130434782, 0.14565217391304347, 0.06086956521739131, 0.008695652173913044, 0.02391304347826087, 0.1391304347826087, 0.09782608695652174, 0.2217391304347826, 0.0, 0.013043478260869565, 0.29782608695652174, 0.13260869565217392, 0.1, 0.030434782608695653, 0.013043478260869565, 0.058695652173913045, 0.03260869565217391, 0.14565217391304347, 0.058695652173913045, 0.06739130434782609, 0.002173913043478261, 0.1391304347826087, 0.05, 0.0, 0.06521739130434782, 0.8326086956521739, 0.0782608695652174, 0.16956521739130434, 0.04782608695652174, 0.04565217391304348, 0.28043478260869564, 0.05, 0.041304347826086954, 0.12391304347826088, 0.021739130434782608, 0.18695652173913044, 0.017391304347826087, 0.03695652173913044, 0.08260869565217391, 0.008695652173913044, 0.04782608695652174, 0.08260869565217391, 0.09782608695652174, 0.11521739130434783, 0.02608695652173913, 0.22391304347826088, 0.06739130434782609, 0.1, 0.1956521739130435, 0.95, 0.22826086956521738, 0.010869565217391304, 0.043478260869565216, 0.12391304347826088, 0.05, 0.1608695652173913, 0.0, 0.01956521739130435, 0.7913043478260869, 0.05652173913043478, 0.17608695652173914, 0.058695652173913045, 0.021739130434782608, 0.05, 0.02391304347826087, 0.19130434782608696, 0.2891304347826087, 0.11521739130434783, 0.05434782608695652, 0.0391304347826087, 0.004347826086956522, 0.09347826086956522, 0.18043478260869567, 0.21304347826086956, 0.05434782608695652, 0.10217391304347827, 0.13260869565217392, 0.08695652173913043]",tree
471,"[0.9766454352441614, 1.0, 0.06581740976645435, 0.14225053078556263, 0.059447983014861996, 0.010615711252653927, 0.02335456475583864, 0.13800424628450106, 0.09766454352441614, 0.2208067940552017, 0.0021231422505307855, 0.014861995753715499, 0.2908704883227176, 0.12951167728237792, 0.09978768577494693, 0.029723991507430998, 0.012738853503184714, 0.059447983014861996, 0.03184713375796178, 0.14225053078556263, 0.059447983014861996, 0.06581740976645435, 0.0021231422505307855, 0.13588110403397027, 0.04883227176220807, 0.0, 0.06369426751592357, 0.821656050955414, 0.07643312101910828, 0.16560509554140126, 0.04670912951167728, 0.050955414012738856, 0.27388535031847133, 0.04883227176220807, 0.04246284501061571, 0.12101910828025478, 0.021231422505307854, 0.18259023354564755, 0.016985138004246284, 0.036093418259023353, 0.08280254777070063, 0.008492569002123142, 0.04670912951167728, 0.08280254777070063, 0.09554140127388536, 0.11464968152866242, 0.025477707006369428, 0.21868365180467092, 0.06794055201698514, 0.09766454352441614, 0.1910828025477707, 0.9363057324840764, 0.22505307855626328, 0.012738853503184714, 0.04883227176220807, 0.12101910828025478, 0.04883227176220807, 0.15711252653927812, 0.0, 0.02335456475583864, 0.7791932059447984, 0.05732484076433121, 0.1740976645435244, 0.05732484076433121, 0.027600849256900213, 0.04883227176220807, 0.02335456475583864, 0.18683651804670912, 0.28874734607218683, 0.11252653927813164, 0.05307855626326964, 0.03821656050955414, 0.004246284501061571, 0.09129511677282377, 0.1762208067940552, 0.21231422505307856, 0.05307855626326964, 0.09978768577494693, 0.12951167728237792, 0.08492569002123142]",life
245,"[0.12244897959183673, 0.12653061224489795, 1.0, 0.012244897959183673, 0.04897959183673469, 0.02040816326530612, 0.08979591836734693, 0.10204081632653061, 0.024489795918367346, 0.3877551020408163, 0.0, 0.04897959183673469, 0.053061224489795916, 0.04081632653061224, 0.061224489795918366, 0.00816326530612245, 0.24489795918367346, 0.2571428571428571, 0.0, 0.00816326530612245, 0.2571428571428571, 0.02040816326530612, 0.004081632653061225, 0.004081632653061225, 0.0, 0.0, 0.053061224489795916, 0.7551020408163265, 0.036734693877551024, 0.02040816326530612, 0.24489795918367346, 0.02857142857142857, 0.08163265306122448, 0.0, 0.024489795918367346, 0.0, 0.08571428571428572, 0.04897959183673469, 0.02857142857142857, 0.004081632653061225, 0.15918367346938775, 0.24897959183673468, 0.004081632653061225, 0.16326530612244897, 0.08979591836734693, 0.061224489795918366, 0.2938775510204082, 0.08571428571428572, 0.024489795918367346, 0.00816326530612245, 0.10612244897959183, 0.39591836734693875, 0.05714285714285714, 0.036734693877551024, 0.02857142857142857, 0.012244897959183673, 0.0, 0.0326530612244898, 0.004081632653061225, 0.3346938775510204, 0.5510204081632653, 0.04081632653061224, 0.02857142857142857, 0.2571428571428571, 0.04897959183673469, 0.0, 0.09387755102040816, 0.0653061224489796, 0.11428571428571428, 0.08163265306122448, 0.39591836734693875, 0.061224489795918366, 0.2816326530612245, 0.012244897959183673, 0.09387755102040816, 0.3877551020408163, 0.10204081632653061, 0.00816326530612245, 0.004081632653061225, 0.0]",people
124,"[0.5403225806451613, 0.5403225806451613, 0.024193548387096774, 1.0, 0.024193548387096774, 0.008064516129032258, 0.28225806451612906, 0.12903225806451613, 0.0, 0.016129032258064516, 0.0, 0.008064516129032258, 0.4032258064516129, 0.6048387096774194, 0.016129032258064516, 0.0967741935483871, 0.0, 0.0, 0.12096774193548387, 0.8548387096774194, 0.0, 0.0, 0.008064516129032258, 0.0, 0.18548387096774194, 0.0, 0.4032258064516129, 0.8064516129032258, 0.0, 0.0967741935483871, 0.0, 0.04838709677419355, 0.008064516129032258, 0.18548387096774194, 0.0, 0.0, 0.056451612903225805, 0.008064516129032258, 0.008064516129032258, 0.056451612903225805, 0.016129032258064516, 0.0, 0.1935483870967742, 0.016129032258064516, 0.06451612903225806, 0.03225806451612903, 0.04838709677419355, 0.024193548387096774, 0.0, 0.0, 0.04838709677419355, 0.8790322580645161, 0.04838709677419355, 0.0, 0.04838709677419355, 0.12096774193548387, 0.0, 0.056451612903225805, 0.0, 0.008064516129032258, 0.8629032258064516, 0.0, 0.04838709677419355, 0.0, 0.008064516129032258, 0.1935483870967742, 0.3467741935483871, 0.0, 0.9354838709677419, 0.0, 0.04032258064516129, 0.0, 0.0, 0.0, 0.0, 0.016129032258064516, 0.008064516129032258, 0.0, 0.5967741935483871, 0.0]",inside
103,"[0.27184466019417475, 0.27184466019417475, 0.11650485436893204, 0.02912621359223301, 1.0, 0.019417475728155338, 0.10679611650485436, 0.23300970873786409, 0.02912621359223301, 0.13592233009708737, 0.14563106796116504, 0.009708737864077669, 0.14563106796116504, 0.0, 0.22330097087378642, 0.009708737864077669, 0.0, 0.009708737864077669, 0.0, 0.0, 0.009708737864077669, 0.019417475728155338, 0.0, 0.05825242718446602, 0.0, 0.0, 0.13592233009708737, 0.5145631067961165, 0.1262135922330097, 0.0, 0.0, 0.0, 0.06796116504854369, 0.0, 0.2524271844660194, 0.05825242718446602, 0.06796116504854369, 0.0, 0.009708737864077669, 0.10679611650485436, 0.42718446601941745, 0.009708737864077669, 0.0, 0.42718446601941745, 0.0, 0.02912621359223301, 0.02912621359223301, 0.05825242718446602, 0.009708737864077669, 0.0, 0.009708737864077669, 0.42718446601941745, 0.06796116504854369, 0.02912621359223301, 0.0, 0.0, 0.009708737864077669, 0.0, 0.0, 0.0, 0.5048543689320388, 0.11650485436893204, 0.009708737864077669, 0.08737864077669903, 0.02912621359223301, 0.0, 0.0, 0.1650485436893204, 0.05825242718446602, 0.1262135922330097, 0.14563106796116504, 0.05825242718446602, 0.02912621359223301, 0.1262135922330097, 0.009708737864077669, 0.1262135922330097, 0.06796116504854369, 0.0, 0.0, 0.13592233009708737]",time
109,"[0.03669724770642202, 0.045871559633027525, 0.045871559633027525, 0.009174311926605505, 0.01834862385321101, 1.0, 0.3394495412844037, 0.1926605504587156, 0.11009174311926606, 0.08256880733944955, 0.3394495412844037, 0.01834862385321101, 0.3761467889908257, 0.0, 0.11926605504587157, 0.0, 0.11926605504587157, 0.0, 0.0, 0.3394495412844037, 0.0, 0.009174311926605505, 0.0, 0.0, 0.0, 0.0, 0.3394495412844037, 0.8623853211009175, 0.1926605504587156, 0.0, 0.0, 0.027522935779816515, 0.009174311926605505, 0.0, 0.045871559633027525, 0.0, 0.01834862385321101, 0.009174311926605505, 0.2018348623853211, 0.0, 0.009174311926605505, 0.0, 0.3394495412844037, 0.0, 0.0, 0.009174311926605505, 0.027522935779816515, 0.01834862385321101, 0.009174311926605505, 0.0, 0.0, 0.8440366972477065, 0.009174311926605505, 0.009174311926605505, 0.027522935779816515, 0.0, 0.009174311926605505, 0.01834862385321101, 0.0, 0.01834862385321101, 0.8990825688073395, 0.1834862385321101, 0.01834862385321101, 0.0, 0.0, 0.3577981651376147, 0.14678899082568808, 0.07339449541284404, 0.3669724770642202, 0.03669724770642202, 0.009174311926605505, 0.1926605504587156, 0.0, 0.01834862385321101, 0.0, 0.08256880733944955, 0.01834862385321101, 0.0, 0.5321100917431193, 0.1743119266055046]",one
102,"[0.10784313725490197, 0.10784313725490197, 0.21568627450980393, 0.3431372549019608, 0.10784313725490197, 0.3627450980392157, 1.0, 0.0392156862745098, 0.0, 0.0196078431372549, 0.37254901960784315, 0.00980392156862745, 0.3627450980392157, 0.3235294117647059, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7254901960784313, 0.0, 0.0, 0.0392156862745098, 0.0, 0.0, 0.0, 0.8921568627450981, 0.9901960784313726, 0.0, 0.0, 0.0, 0.00980392156862745, 0.0, 0.0, 0.0, 0.0, 0.09803921568627451, 0.0, 0.0196078431372549, 0.00980392156862745, 0.11764705882352941, 0.0, 0.3627450980392157, 0.11764705882352941, 0.0196078431372549, 0.0196078431372549, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7941176470588235, 0.0, 0.0, 0.00980392156862745, 0.13725490196078433, 0.0, 0.0, 0.0, 0.09803921568627451, 0.8725490196078431, 0.0, 0.0, 0.0, 0.0, 0.3627450980392157, 0.38235294117647056, 0.0, 0.8235294117647058, 0.10784313725490197, 0.10784313725490197, 0.0, 0.0, 0.0, 0.0196078431372549, 0.0, 0.0196078431372549, 0.0, 0.5882352941176471, 0.0]",laws
225,"[0.28444444444444444, 0.28888888888888886, 0.1111111111111111, 0.07111111111111111, 0.10666666666666667, 0.09333333333333334, 0.017777777777777778, 1.0, 0.022222222222222223, 0.16, 0.04888888888888889, 0.035555555555555556, 0.27111111111111114, 0.06666666666666667, 0.04, 0.0, 0.0044444444444444444, 0.035555555555555556, 0.06666666666666667, 0.06666666666666667, 0.035555555555555556, 0.022222222222222223, 0.03111111111111111, 0.04, 0.0, 0.0, 0.25333333333333335, 0.8088888888888889, 0.3244444444444444, 0.13777777777777778, 0.008888888888888889, 0.0044444444444444444, 0.17333333333333334, 0.0, 0.03111111111111111, 0.02666666666666667, 0.044444444444444446, 0.008888888888888889, 0.1511111111111111, 0.1111111111111111, 0.06666666666666667, 0.0044444444444444444, 0.07555555555555556, 0.07111111111111111, 0.08888888888888889, 0.1688888888888889, 0.008888888888888889, 0.022222222222222223, 0.022222222222222223, 0.035555555555555556, 0.022222222222222223, 0.8088888888888889, 0.14222222222222222, 0.08, 0.0044444444444444444, 0.017777777777777778, 0.017777777777777778, 0.15555555555555556, 0.0, 0.008888888888888889, 0.9644444444444444, 0.06222222222222222, 0.21777777777777776, 0.008888888888888889, 0.03111111111111111, 0.0044444444444444444, 0.04, 0.02666666666666667, 0.19555555555555557, 0.1688888888888889, 0.02666666666666667, 0.05333333333333334, 0.044444444444444446, 0.04, 0.21777777777777776, 0.1511111111111111, 0.08888888888888889, 0.0, 0.16, 0.04]",mass
136,"[0.33088235294117646, 0.3382352941176471, 0.04411764705882353, 0.0, 0.022058823529411766, 0.08823529411764706, 0.0, 0.03676470588235294, 1.0, 0.2647058823529412, 0.0, 0.07352941176470588, 0.25735294117647056, 0.007352941176470588, 0.7132352941176471, 0.0, 0.022058823529411766, 0.3382352941176471, 0.0, 0.014705882352941176, 0.3382352941176471, 0.08088235294117647, 0.0, 0.2426470588235294, 0.0, 0.0, 0.0661764705882353, 0.7352941176470589, 0.04411764705882353, 0.0, 0.0, 0.007352941176470588, 0.1323529411764706, 0.0, 0.09558823529411764, 0.17647058823529413, 0.007352941176470588, 0.0, 0.15441176470588236, 0.014705882352941176, 0.16176470588235295, 0.0, 0.014705882352941176, 0.125, 0.007352941176470588, 0.029411764705882353, 0.0, 0.03676470588235294, 0.08823529411764706, 0.0, 0.007352941176470588, 0.5073529411764706, 0.19852941176470587, 0.22058823529411764, 0.007352941176470588, 0.0, 0.19117647058823528, 0.007352941176470588, 0.0, 0.022058823529411766, 0.5441176470588235, 0.16176470588235295, 0.22058823529411764, 0.022058823529411766, 0.08823529411764706, 0.0, 0.04411764705882353, 0.15441176470588236, 0.04411764705882353, 0.19117647058823528, 0.014705882352941176, 0.09558823529411764, 0.014705882352941176, 0.029411764705882353, 0.022058823529411766, 0.25735294117647056, 0.03676470588235294, 0.0, 0.0, 0.27205882352941174]",community
355,"[0.28732394366197184, 0.29295774647887324, 0.2676056338028169, 0.005633802816901409, 0.03943661971830986, 0.02535211267605634, 0.005633802816901409, 0.10140845070422536, 0.10140845070422536, 1.0, 0.0, 0.04225352112676056, 0.01971830985915493, 0.0, 0.07887323943661972, 0.005633802816901409, 0.17183098591549295, 0.19154929577464788, 0.014084507042253521, 0.0, 0.19154929577464788, 0.04507042253521127, 0.005633802816901409, 0.03943661971830986, 0.0, 0.0, 0.09295774647887324, 0.7183098591549296, 0.030985915492957747, 0.0, 0.27323943661971833, 0.061971830985915494, 0.01971830985915493, 0.0, 0.09859154929577464, 0.008450704225352112, 0.05070422535211268, 0.028169014084507043, 0.01971830985915493, 0.059154929577464786, 0.08732394366197183, 0.19154929577464788, 0.0028169014084507044, 0.0676056338028169, 0.0647887323943662, 0.03380281690140845, 0.22253521126760564, 0.0676056338028169, 0.03943661971830986, 0.0, 0.0028169014084507044, 0.4028169014084507, 0.059154929577464786, 0.01971830985915493, 0.061971830985915494, 0.0, 0.016901408450704224, 0.036619718309859155, 0.0, 0.18873239436619718, 0.323943661971831, 0.07605633802816901, 0.030985915492957747, 0.19154929577464788, 0.09859154929577464, 0.0, 0.0028169014084507044, 0.10985915492957747, 0.1267605633802817, 0.03380281690140845, 0.2140845070422535, 0.03380281690140845, 0.16901408450704225, 0.14366197183098592, 0.08169014084507042, 0.9774647887323944, 0.0647887323943662, 0.0028169014084507044, 0.0028169014084507044, 0.022535211267605635]",squirrel
