rows,words
"[1.0, 0.0, 0.0, 0.21052631578947367, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.02631578947368421, 0.0, 0.0, 0.10526315789473684, 0.05263157894736842, 0.0, 0.05263157894736842, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05263157894736842, 0.0, 0.0, 0.0, 0.02631578947368421, 0.02631578947368421, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07894736842105263, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.10526315789473684, 0.34210526315789475, 0.2894736842105263, 0.0, 0.0, 0.05263157894736842, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05263157894736842, 0.0, 0.10526315789473684, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.21052631578947367, 0.0, 0.0, 0.0, 0.07894736842105263, 0.0, 0.0, 0.05263157894736842, 0.0, 0.0, 0.0, 0.02631578947368421, 0.02631578947368421, 0.3684210526315789, 0.05263157894736842, 0.02631578947368421, 0.0, 0.21052631578947367, 0.0, 0.0, 0.0, 0.0, 0.6578947368421053, 0.0, 0.05263157894736842, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10526315789473684, 0.0, 0.0, 0.05263157894736842, 0.0, 0.0, 0.21052631578947367, 0.0, 0.0, 0.3684210526315789, 0.0, 0.02631578947368421, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0, 0.05263157894736842, 0.0, 0.0, 0.7368421052631579, 0.0, 0.15789473684210525, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.0, 0.10526315789473684, 0.3684210526315789, 0.0, 0.0, 0.0, 0.7105263157894737, 0.0, 0.0, 0.21052631578947367, 0.0, 0.13157894736842105, 0.13157894736842105, 0.0, 0.21052631578947367, 0.9736842105263158, 0.9473684210526315, 0.6578947368421053]",better
"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030303030303030304, 0.030303030303030304, 0.42424242424242425, 0.0, 0.0, 0.0, 0.36363636363636365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030303030303030304, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030303030303030304, 0.12121212121212122, 0.0, 0.0, 0.0, 0.30303030303030304, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030303030303030304, 0.30303030303030304, 0.0, 0.0, 0.21212121212121213, 0.0, 0.030303030303030304, 0.0, 0.0, 0.0, 0.0, 0.030303030303030304, 0.0, 0.0, 0.030303030303030304, 0.0, 0.030303030303030304, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09090909090909091, 0.0, 0.12121212121212122, 0.09090909090909091, 0.0, 0.030303030303030304, 0.0, 0.12121212121212122, 0.0, 0.0, 0.36363636363636365, 0.0, 0.0, 0.36363636363636365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15151515151515152, 0.0, 0.06060606060606061, 0.0, 0.36363636363636365, 0.0, 0.3939393939393939, 0.0, 0.0, 0.06060606060606061, 0.0, 0.0, 0.0, 0.0, 0.30303030303030304, 0.0, 0.0, 0.0, 0.12121212121212122, 0.24242424242424243, 0.030303030303030304, 0.030303030303030304, 0.12121212121212122, 0.42424242424242425, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.030303030303030304, 0.15151515151515152, 0.12121212121212122, 0.0, 0.0, 0.48484848484848486, 0.0, 0.06060606060606061, 0.0, 0.48484848484848486, 0.3939393939393939, 0.48484848484848486, 0.030303030303030304, 0.48484848484848486, 0.9696969696969697, 0.18181818181818182]",hearts
"[0.0, 0.0, 1.0, 0.0, 0.7317073170731707, 0.0, 0.0, 0.7317073170731707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.0, 0.0, 0.7317073170731707, 0.0, 0.0, 0.0, 0.12195121951219512, 0.024390243902439025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.0, 0.024390243902439025, 0.0, 0.8292682926829268, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7560975609756098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12195121951219512, 0.024390243902439025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.12195121951219512, 0.0, 0.0, 0.0, 0.12195121951219512, 0.0, 0.0, 1.0, 0.0, 0.0, 0.04878048780487805, 0.0, 0.0, 0.0, 0.0, 0.8048780487804879, 0.04878048780487805, 0.7804878048780488, 0.7560975609756098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04878048780487805, 0.0, 0.04878048780487805, 0.0, 0.0, 0.7317073170731707, 0.0, 0.0, 1.0, 0.0, 0.0, 0.7317073170731707, 0.14634146341463414, 0.0, 0.0, 0.0, 0.17073170731707318, 0.0, 0.0, 0.0, 0.07317073170731707, 0.7317073170731707, 0.0, 0.0, 0.9024390243902439, 0.7317073170731707, 0.9024390243902439, 0.04878048780487805, 0.04878048780487805, 0.0, 0.7317073170731707, 0.9512195121951219, 0.7317073170731707, 1.0]",yelling
"[0.17391304347826086, 0.0, 0.0, 1.0, 0.1956521739130435, 0.0, 0.0, 0.0, 0.06521739130434782, 0.0, 0.0, 0.0, 0.1956521739130435, 0.0, 0.0, 0.0, 0.0, 0.2826086956521739, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021739130434782608, 0.043478260869565216, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021739130434782608, 0.0, 0.0, 0.021739130434782608, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08695652173913043, 0.0, 0.0, 0.0, 0.0, 0.021739130434782608, 0.043478260869565216, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2826086956521739, 0.0, 0.0, 0.0, 0.021739130434782608, 0.0, 0.021739130434782608, 0.0, 0.0, 0.0, 0.08695652173913043, 0.30434782608695654, 0.1956521739130435, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.043478260869565216, 0.0, 0.21739130434782608, 0.0, 0.0, 0.0, 0.21739130434782608, 0.0, 0.021739130434782608, 0.0, 0.043478260869565216, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1956521739130435, 0.0, 0.30434782608695654, 0.21739130434782608, 0.0, 0.0, 0.0, 0.17391304347826086, 0.0, 0.0, 0.021739130434782608, 0.043478260869565216, 0.17391304347826086, 0.2608695652173913, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10869565217391304, 0.0, 0.21739130434782608, 0.0, 0.10869565217391304, 0.0, 0.0, 0.41304347826086957, 0.0, 0.043478260869565216, 0.0, 0.021739130434782608, 0.30434782608695654, 0.0, 0.0, 0.06521739130434782, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17391304347826086, 0.0, 0.021739130434782608, 0.021739130434782608, 0.043478260869565216, 0.08695652173913043, 0.0, 0.2608695652173913, 0.06521739130434782, 0.0, 0.34782608695652173, 0.021739130434782608, 0.45652173913043476, 0.021739130434782608, 0.021739130434782608, 0.17391304347826086, 0.0, 0.021739130434782608, 0.021739130434782608, 0.021739130434782608, 0.17391304347826086, 0.9565217391304348, 0.9565217391304348, 0.8478260869565217]",church
"[0.0, 0.0, 0.6666666666666666, 0.2, 1.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.08888888888888889, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.08888888888888889, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6888888888888889, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.022222222222222223, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.022222222222222223, 0.0, 0.0, 0.1111111111111111, 0.08888888888888889, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.1111111111111111, 0.2, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.7111111111111111, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.6666666666666666, 0.0, 0.6666666666666666, 0.7111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08888888888888889, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.7111111111111111, 0.0, 0.0, 0.6666666666666666, 0.1111111111111111, 0.08888888888888889, 0.0, 0.0, 0.08888888888888889, 0.2, 0.0, 0.08888888888888889, 0.0, 0.6666666666666666, 0.0, 0.0, 0.6666666666666666, 0.7777777777777778, 0.6888888888888889, 0.0, 0.0, 0.0, 0.7777777777777778, 0.8666666666666667, 0.9777777777777777, 0.9777777777777777]",walked
"[0.17391304347826086, 0.0, 0.0, 1.0, 0.1956521739130435, 0.0, 0.0, 0.0, 0.06521739130434782, 0.0, 0.0, 0.0, 0.1956521739130435, 0.0, 0.0, 0.0, 0.0, 0.2826086956521739, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021739130434782608, 0.043478260869565216, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021739130434782608, 0.0, 0.0, 0.021739130434782608, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08695652173913043, 0.0, 0.0, 0.0, 0.0, 0.021739130434782608, 0.043478260869565216, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2826086956521739, 0.0, 0.0, 0.0, 0.021739130434782608, 0.0, 0.021739130434782608, 0.0, 0.0, 0.0, 0.08695652173913043, 0.30434782608695654, 0.1956521739130435, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.043478260869565216, 0.0, 0.21739130434782608, 0.0, 0.0, 0.0, 0.21739130434782608, 0.0, 0.021739130434782608, 0.0, 0.043478260869565216, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1956521739130435, 0.0, 0.30434782608695654, 0.21739130434782608, 0.0, 0.0, 0.0, 0.17391304347826086, 0.0, 0.0, 0.021739130434782608, 0.043478260869565216, 0.17391304347826086, 0.2608695652173913, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10869565217391304, 0.0, 0.21739130434782608, 0.0, 0.10869565217391304, 0.0, 0.0, 0.41304347826086957, 0.0, 0.043478260869565216, 0.0, 0.021739130434782608, 0.30434782608695654, 0.0, 0.0, 0.06521739130434782, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17391304347826086, 0.0, 0.021739130434782608, 0.021739130434782608, 0.043478260869565216, 0.08695652173913043, 0.0, 0.2608695652173913, 0.06521739130434782, 0.0, 0.34782608695652173, 0.021739130434782608, 0.45652173913043476, 0.021739130434782608, 0.021739130434782608, 0.17391304347826086, 0.0, 0.021739130434782608, 0.021739130434782608, 0.021739130434782608, 0.17391304347826086, 0.9565217391304348, 0.9565217391304348, 0.8478260869565217]",injured
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.0, 0.05555555555555555, 0.0, 0.027777777777777776, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2777777777777778, 0.3055555555555556, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3055555555555556, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027777777777777776, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027777777777777776, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.027777777777777776, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4722222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027777777777777776, 0.0, 0.0, 0.16666666666666666, 0.0, 0.027777777777777776, 0.05555555555555555, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.0, 0.0, 0.027777777777777776, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2777777777777778, 0.0, 0.05555555555555555, 0.0, 0.0, 0.3055555555555556, 0.0, 0.7777777777777778, 0.0, 0.0, 0.1388888888888889, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027777777777777776, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0, 0.027777777777777776, 0.0, 0.0, 0.0, 0.027777777777777776, 0.16666666666666666, 0.0, 0.25, 0.0, 0.0, 0.0, 0.08333333333333333, 0.0, 0.3055555555555556, 0.0, 0.6388888888888888, 0.7222222222222222, 0.08333333333333333, 0.3055555555555556, 0.3888888888888889, 0.8888888888888888, 0.3333333333333333]",everyone
"[0.0, 0.0, 1.0, 0.0, 0.7317073170731707, 0.0, 0.0, 0.7317073170731707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.0, 0.0, 0.7317073170731707, 0.0, 0.0, 0.0, 0.12195121951219512, 0.024390243902439025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.0, 0.024390243902439025, 0.0, 0.8292682926829268, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7560975609756098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12195121951219512, 0.024390243902439025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.12195121951219512, 0.0, 0.0, 0.0, 0.12195121951219512, 0.0, 0.0, 1.0, 0.0, 0.0, 0.04878048780487805, 0.0, 0.0, 0.0, 0.0, 0.8048780487804879, 0.04878048780487805, 0.7804878048780488, 0.7560975609756098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04878048780487805, 0.0, 0.04878048780487805, 0.0, 0.0, 0.7317073170731707, 0.0, 0.0, 1.0, 0.0, 0.0, 0.7317073170731707, 0.14634146341463414, 0.0, 0.0, 0.0, 0.17073170731707318, 0.0, 0.0, 0.0, 0.07317073170731707, 0.7317073170731707, 0.0, 0.0, 0.9024390243902439, 0.7317073170731707, 0.9024390243902439, 0.04878048780487805, 0.04878048780487805, 0.0, 0.7317073170731707, 0.9512195121951219, 0.7317073170731707, 1.0]",coverage
"[0.023255813953488372, 0.0, 0.0, 0.06976744186046512, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.023255813953488372, 0.023255813953488372, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3023255813953488, 0.0, 0.0, 0.0, 0.0, 0.023255813953488372, 0.09302325581395349, 0.023255813953488372, 0.16279069767441862, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.046511627906976744, 0.0, 0.0, 0.23255813953488372, 0.0, 0.32558139534883723, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2558139534883721, 0.0, 0.023255813953488372, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023255813953488372, 0.0, 0.06976744186046512, 0.0, 0.0, 0.0, 0.32558139534883723, 0.0, 0.37209302325581395, 0.0, 0.023255813953488372, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023255813953488372, 0.0, 0.0, 0.0, 0.023255813953488372, 0.0, 0.0, 0.0, 0.0, 0.3488372093023256, 0.0, 0.0, 0.023255813953488372, 0.0, 0.0, 0.13953488372093023, 0.23255813953488372, 0.0, 0.06976744186046512, 0.023255813953488372, 0.0, 0.023255813953488372, 0.0, 0.023255813953488372, 0.0, 0.046511627906976744, 0.32558139534883723, 0.23255813953488372, 0.0, 0.06976744186046512, 0.2558139534883721, 0.0, 0.0, 0.0, 0.0, 0.6744186046511628, 0.0, 0.023255813953488372, 0.023255813953488372, 0.0, 0.0, 0.0, 0.046511627906976744, 0.09302325581395349, 0.0, 0.023255813953488372, 0.0, 0.0, 0.09302325581395349, 0.0, 0.3488372093023256, 0.0, 0.06976744186046512, 0.023255813953488372, 0.0, 0.023255813953488372, 0.0, 0.0, 0.0, 0.0, 0.32558139534883723, 0.11627906976744186, 0.0, 0.023255813953488372, 0.0, 0.0, 0.3953488372093023, 0.0, 0.0, 0.06976744186046512, 0.0, 0.046511627906976744, 0.0, 0.023255813953488372, 0.046511627906976744, 0.0, 0.023255813953488372, 0.09302325581395349, 0.0, 0.0, 0.06976744186046512, 0.0, 0.046511627906976744, 0.06976744186046512, 0.0, 0.09302325581395349, 0.023255813953488372, 0.06976744186046512, 0.11627906976744186, 0.023255813953488372, 0.0, 0.0, 0.27906976744186046, 0.3023255813953488, 0.09302325581395349, 0.0, 0.5116279069767442, 0.5116279069767442, 0.5116279069767442]",every
"[0.0, 0.0, 0.0, 0.0, 0.0851063829787234, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06382978723404255, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0851063829787234, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02127659574468085, 0.0, 0.06382978723404255, 0.0, 0.0, 0.0, 0.23404255319148937, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06382978723404255, 0.0, 0.0, 0.14893617021276595, 0.0, 0.0, 0.14893617021276595, 0.6170212765957447, 0.6170212765957447, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6170212765957447, 0.06382978723404255, 0.0, 0.1702127659574468, 0.0, 0.0, 0.0, 0.14893617021276595, 0.0, 0.0, 0.0851063829787234, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14893617021276595, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2127659574468085, 0.851063829787234, 0.0, 0.0, 0.02127659574468085, 0.0, 0.0, 0.0, 0.0, 0.6382978723404256, 0.0, 0.0851063829787234, 0.0851063829787234, 0.6170212765957447, 0.0, 0.0, 0.0, 0.0, 0.6170212765957447, 0.0, 0.0, 0.0851063829787234, 0.0, 0.0, 0.6382978723404256, 0.06382978723404255, 0.02127659574468085, 0.14893617021276595, 0.6170212765957447, 0.0, 0.0, 0.6382978723404256, 0.0, 0.0, 0.0, 0.02127659574468085, 0.0851063829787234, 0.6595744680851063, 0.0, 0.10638297872340426, 0.14893617021276595, 0.0, 0.7659574468085106, 0.0425531914893617, 0.0, 0.0, 0.02127659574468085, 0.6170212765957447, 0.8936170212765957, 0.02127659574468085, 0.0, 0.0, 0.02127659574468085, 0.8936170212765957, 0.723404255319149, 0.8085106382978723, 0.9574468085106383]",reportedly
