User,UserID,Query,TweetID,Created_At,Mention
olletsak,946583011,Dodgers,1056295175088033792,2018-10-27 21:22:49,AM570LASports
rojas_488,3007269522,Dodgers,1056295172407930880,2018-10-27 21:22:48,Dodgers
exCamacho,2851608300,Dodgers,1056295171925528577,2018-10-27 21:22:48,Dodgers
ortizrendon12,943586522602893312,Dodgers,1056295170151473153,2018-10-27 21:22:48,GuillermoCelis
SKuemy,57688074,Dodgers,1056295169811734529,2018-10-27 21:22:48,Dodgers
agundez_eddie,988582615451025408,Dodgers,1056295166384861185,2018-10-27 21:22:47,MLBONFOX
agundez_eddie,988582615451025408,Dodgers,1056295166384861185,2018-10-27 21:22:47,Dodgers
_aka_dom,535653820,Dodgers,1056295158990409728,2018-10-27 21:22:45,Starting9
1PinkFloyd,211352521,Dodgers,1056295152531136512,2018-10-27 21:22:44,Dodgers
KeepinItFresh,22951912,Dodgers,1056295151067291648,2018-10-27 21:22:43,Starting9
SabrinaC_joel,1957403352,Dodgers,1056295150354337793,2018-10-27 21:22:43,noahcent
allofmehs,557211008,Dodgers,1056295143274360834,2018-10-27 21:22:41,voguemagazine
skhollyfield,3045257032,Dodgers,1056295142691352578,2018-10-27 21:22:41,alyssavingan
Q_Falk60,2427762411,Dodgers,1056295142490079232,2018-10-27 21:22:41,BarstoolHubbs
BrockGerard24,986238259654283264,Dodgers,1056295141147926529,2018-10-27 21:22:41,Jared_Carrabis
lajuafarini,378157628,Dodgers,1056295138354442242,2018-10-27 21:22:40,Dodgers
iiSpaceDuck,3231951218,Dodgers,1056295135686717440,2018-10-27 21:22:40,JesseOut
kuinikee,42628901,Dodgers,1056295133396652032,2018-10-27 21:22:39,dmorenochavez
ccgrime,250961252,Dodgers,1056295130229960705,2018-10-27 21:22:38,RLGRIME
frnco93,424026307,Dodgers,1056295127491129344,2018-10-27 21:22:38,IEjumpman909
frnco93,424026307,Dodgers,1056295127491129344,2018-10-27 21:22:38,Dodgers
NatsPurPLe_HaZE,60282062,Dodgers,1056295125423337472,2018-10-27 21:22:37,MLBStatoftheDay
NatsPurPLe_HaZE,60282062,Dodgers,1056295125423337472,2018-10-27 21:22:37,Dodgers
NatsPurPLe_HaZE,60282062,Dodgers,1056295125423337472,2018-10-27 21:22:37,MLB
osheacolin,51317020,Dodgers,1056295125297577984,2018-10-27 21:22:37,amysboyd
rvabwk,400731557,Dodgers,1056295124555177985,2018-10-27 21:22:37,BNightengale
savannahjeanx,3273892057,Dodgers,1056295124534145024,2018-10-27 21:22:37,Dodgers
TMoneyyyTV,714559281,Dodgers,1056295120365084672,2018-10-27 21:22:36,Jared_Carrabis
asapjordanv0,2910584484,Dodgers,1056295112882311168,2018-10-27 21:22:34,a_torres_51_
asapjordanv0,2910584484,Dodgers,1056295112882311168,2018-10-27 21:22:34,AROD
asapjordanv0,2910584484,Dodgers,1056295112882311168,2018-10-27 21:22:34,maxmuncy9
abbiaguilar_,833809251621552128,Dodgers,1056295109581463552,2018-10-27 21:22:33,noahcent
Bran_Purrington,1087598587,Dodgers,1056295109334048769,2018-10-27 21:22:33,Jared_Carrabis
Petey_22,192397638,Dodgers,1056295107949867010,2018-10-27 21:22:33,Dodgers
jmoneyflip23,373458619,Dodgers,1056295103545786369,2018-10-27 21:22:32,YahooSports
jmoneyflip23,373458619,Dodgers,1056295103545786369,2018-10-27 21:22:32,Dodgers
jmoneyflip23,373458619,Dodgers,1056295103545786369,2018-10-27 21:22:32,ClaytonKersh22
socalg24,3778238478,Dodgers,1056295100819562496,2018-10-27 21:22:31,Dodgers
HausDeJudas,311353183,Dodgers,1056295099376664576,2018-10-27 21:22:31,voguemagazine
ComptonMeeko,1046582934554140672,Dodgers,1056295098810417152,2018-10-27 21:22:31,TG3II
ComptonMeeko,1046582934554140672,Dodgers,1056295098810417152,2018-10-27 21:22:31,Dodgers
imblack32,545643073,Dodgers,1056295098298843136,2018-10-27 21:22:31,statcast
jonnymattis,128366697,Dodgers,1056295096990253058,2018-10-27 21:22:30,Starting9
ejmccarthy,22532402,Dodgers,1056295089343885313,2018-10-27 21:22:28,BNightengale
tomtitleist,551615423,Dodgers,1056295087888576515,2018-10-27 21:22:28,MLB
tomtitleist,551615423,Dodgers,1056295087888576515,2018-10-27 21:22:28,Dodgers
tomtitleist,551615423,Dodgers,1056295087888576515,2018-10-27 21:22:28,RedSox
tomtitleist,551615423,Dodgers,1056295087888576515,2018-10-27 21:22:28,maxmuncy9
tomtitleist,551615423,Dodgers,1056295087888576515,2018-10-27 21:22:28,MLB
GeoBal1407,591961408,Dodgers,1056295086034608128,2018-10-27 21:22:28,bambino_sedano
