User,UserID,Query,ResultID,ResultCreated_At,RTUser,RTID,RT_created_at,RT_text
olletsak,946583011,Dodgers,1056295175088033792,2018-10-27 21:22:49,AM570LASports,1056086548297334784,2018-10-27 07:33:48,WHAT A GAME!!!!! #Dodgers #MaxMuncy #WorldSeries https://t.co/aUminjqaUT
rojas_488,3007269522,Dodgers,1056295172407930880,2018-10-27 21:22:48,Dodgers,1056288506056560641,2018-10-27 20:56:19,Tonights GM. 4 Dodger lineup vs. Red Sox: Freese 1BMuncy 2BTurner 3BMachado SSBellinger CFPuig RFTaylor LFBarnes CHill P#LADetermined  | #WorldSeries https://t.co/Fy2cyfooKf
exCamacho,2851608300,Dodgers,1056295171925528577,2018-10-27 21:22:48,Dodgers,1056288506056560641,2018-10-27 20:56:19,Tonights GM. 4 Dodger lineup vs. Red Sox: Freese 1BMuncy 2BTurner 3BMachado SSBellinger CFPuig RFTaylor LFBarnes CHill P#LADetermined  | #WorldSeries https://t.co/Fy2cyfooKf
ortizrendon12,943586522602893312,Dodgers,1056295170151473153,2018-10-27 21:22:48,GuillermoCelis,1056281484401684480,2018-10-27 20:28:25,Victorias de #Dodgers en Serie Mundial dejando en el terreno al rival:Jackie Robinson 1956 Juego 6 vs. #Yankees (10a. entrada)Cookie Lvagetto 1947 Juego 4 vs. #Yankees Kirk Gibson 1988 Juego 1 vs. #Athletics Max Muncy 2018 Juego 3 vs. #RedSox (18a. entrada)#smESPN
SKuemy,57688074,Dodgers,1056295169811734529,2018-10-27 21:22:48,Dodgers,1056288506056560641,2018-10-27 20:56:19,Tonights GM. 4 Dodger lineup vs. Red Sox: Freese 1BMuncy 2BTurner 3BMachado SSBellinger CFPuig RFTaylor LFBarnes CHill P#LADetermined  | #WorldSeries https://t.co/Fy2cyfooKf
_aka_dom,535653820,Dodgers,1056295158990409728,2018-10-27 21:22:45,Starting9,1055983829608026117,2018-10-27 00:45:38,Yep thats definitely Bill Nye not a legendary Dodgers pitcher at a Dodgers World Series game nope its the science guy https://t.co/BzJBoB2LHR
1PinkFloyd,211352521,Dodgers,1056295152531136512,2018-10-27 21:22:44,Dodgers,1056112647056187392,2018-10-27 09:17:31,What an incredible way to end the night in front of the best fans. Thanks for staying up with us! #LADetermined https://t.co/4KLlW9iMs8
KeepinItFresh,22951912,Dodgers,1056295151067291648,2018-10-27 21:22:43,Starting9,1055983829608026117,2018-10-27 00:45:38,Yep thats definitely Bill Nye not a legendary Dodgers pitcher at a Dodgers World Series game nope its the science guy https://t.co/BzJBoB2LHR
SabrinaC_joel,1957403352,Dodgers,1056295150354337793,2018-10-27 21:22:43,noahcent,1056243750400286720,2018-10-27 17:58:28,Are the dodgers still playing?
allofmehs,557211008,Dodgers,1056295143274360834,2018-10-27 21:22:41,voguemagazine,1056287531363373056,2018-10-27 20:52:27,Harry Styless Halloween costume was a spot-on imitation of Elton Johns iconic sparkle-covered Dodgers uniform which he originally wore in 1975. https://t.co/QzUHkAf2Ax
skhollyfield,3045257032,Dodgers,1056295142691352578,2018-10-27 21:22:41,alyssavingan,1056179601859403776,2018-10-27 13:43:34,HARRY STYLES IN A GUCCIFIED DODGERS HALLOWEEN COSTUME OH MY GOD https://t.co/DW4RyH9Ti9
Q_Falk60,2427762411,Dodgers,1056295142490079232,2018-10-27 21:22:41,BarstoolHubbs,1056062951071739904,2018-10-27 06:00:02,I basically did the Chris Pratt surprise smile gif when the Dodgers tied it https://t.co/ezhIZiCxaM
