User,UserID,Query,TweetID,Created_At,Retweet_Count,Favorite_Count,IsRT,Tweet
olletsak,946583011,Dodgers,1056295175088033792,2018-10-27 21:22:49,89,0,True,RT @AM570LASports: WHAT A GAME!!!!! #Dodgers #MaxMuncy #WorldSeries https://t.co/aUminjqaUT
A_Steffon23,974803333759229953,Dodgers,1056295172642721792,2018-10-27 21:22:48,0,0,False,Dodgers need to tie it up tonight
rojas_488,3007269522,Dodgers,1056295172407930880,2018-10-27 21:22:48,509,0,True,RT @Dodgers: Tonights GM. 4 Dodger lineup vs. Red Sox: Freese 1BMuncy 2BTurner 3BMachado SSBellinger CFPuig RFTaylor LFBarnes CHill P#LADetermined  | #WorldSeries https://t.co/Fy2cyfooKf
exCamacho,2851608300,Dodgers,1056295171925528577,2018-10-27 21:22:48,509,0,True,RT @Dodgers: Tonights GM. 4 Dodger lineup vs. Red Sox: Freese 1BMuncy 2BTurner 3BMachado SSBellinger CFPuig RFTaylor LFBarnes CHill P#LADetermined  | #WorldSeries https://t.co/Fy2cyfooKf
ortizrendon12,943586522602893312,Dodgers,1056295170151473153,2018-10-27 21:22:48,16,0,True,RT @GuillermoCelis: Victorias de #Dodgers en Serie Mundial dejando en el terreno al rival:Jackie Robinson 1956 Juego 6 vs. #Yankees (10a. entrada)Cookie Lvagetto 1947 Juego 4 vs. #Yankees Kirk Gibson 1988 Juego 1 vs. #Athletics Max Muncy 2018 Juego 3 vs. #RedSox (18a. entrada)#smESPN
SKuemy,57688074,Dodgers,1056295169811734529,2018-10-27 21:22:48,509,0,True,RT @Dodgers: Tonights GM. 4 Dodger lineup vs. Red Sox: Freese 1BMuncy 2BTurner 3BMachado SSBellinger CFPuig RFTaylor LFBarnes CHill P#LADetermined  | #WorldSeries https://t.co/Fy2cyfooKf
agundez_eddie,988582615451025408,Dodgers,1056295166384861185,2018-10-27 21:22:47,0,0,False,@MLBONFOX @Dodgers The person who wrote this obviously doesnt live in our hometown of Los Angeles. Good luck getting out of LAX in a short amount of time and sitting in traffic
_aka_dom,535653820,Dodgers,1056295158990409728,2018-10-27 21:22:45,1734,0,True,RT @Starting9: Yep thats definitely Bill Nye not a legendary Dodgers pitcher at a Dodgers World Series game nope its the science guy https://t.co/BzJBoB2LHR
1PinkFloyd,211352521,Dodgers,1056295152531136512,2018-10-27 21:22:44,1159,0,True,RT @Dodgers: What an incredible way to end the night in front of the best fans. Thanks for staying up with us! #LADetermined https://t.co/4KLlW9iMs8
KeepinItFresh,22951912,Dodgers,1056295151067291648,2018-10-27 21:22:43,1734,0,True,RT @Starting9: Yep thats definitely Bill Nye not a legendary Dodgers pitcher at a Dodgers World Series game nope its the science guy https://t.co/BzJBoB2LHR
SabrinaC_joel,1957403352,Dodgers,1056295150354337793,2018-10-27 21:22:43,1102,0,True,RT @noahcent: Are the dodgers still playing?
allofmehs,557211008,Dodgers,1056295143274360834,2018-10-27 21:22:41,317,0,True,RT @voguemagazine: Harry Styless Halloween costume was a spot-on imitation of Elton Johns iconic sparkle-covered Dodgers uniform which he originally wore in 1975. https://t.co/QzUHkAf2Ax
skhollyfield,3045257032,Dodgers,1056295142691352578,2018-10-27 21:22:41,113,0,True,RT @alyssavingan: HARRY STYLES IN A GUCCIFIED DODGERS HALLOWEEN COSTUME OH MY GOD https://t.co/DW4RyH9Ti9
Q_Falk60,2427762411,Dodgers,1056295142490079232,2018-10-27 21:22:41,49,0,True,RT @BarstoolHubbs: I basically did the Chris Pratt surprise smile gif when the Dodgers tied it https://t.co/ezhIZiCxaM
BrockGerard24,986238259654283264,Dodgers,1056295141147926529,2018-10-27 21:22:41,1276,0,True,RT @Jared_Carrabis: It took 18 innings and an 0-for-18 from Mookie Betts Xander Bogaerts and JD Martinez for the Dodgers to beat the Red Sox one time.
lajuafarini,378157628,Dodgers,1056295138354442242,2018-10-27 21:22:40,509,0,True,RT @Dodgers: Tonights GM. 4 Dodger lineup vs. Red Sox: Freese 1BMuncy 2BTurner 3BMachado SSBellinger CFPuig RFTaylor LFBarnes CHill P#LADetermined  | #WorldSeries https://t.co/Fy2cyfooKf
iiSpaceDuck,3231951218,Dodgers,1056295135686717440,2018-10-27 21:22:40,129,0,True,RT @JesseOut: Wanna feel old?  This is the #Dodgers before the first pitch of game three: https://t.co/GdzvaoJnJQ
kuinikee,42628901,Dodgers,1056295133396652032,2018-10-27 21:22:39,0,0,False,@dmorenochavez Dimelo a mi que aqui en LA el domingo despues del Rams vs Packers nos vamos al game 5 Dodgers vs Red Sox y antes de todo eso hay pinata.
ccgrime,250961252,Dodgers,1056295130229960705,2018-10-27 21:22:38,0,0,False,@RLGRIME dodgers are undefeated when you attend the game. Can you go again tonight
frnco93,424026307,Dodgers,1056295127491129344,2018-10-27 21:22:38,0,0,False,@IEjumpman909 @Dodgers This the type of guy who dont know muncy can play 2nd fake ass fans
NatsPurPLe_HaZE,60282062,Dodgers,1056295125423337472,2018-10-27 21:22:37,681,0,True,RT @MLBStatoftheDay: .@Dodgers pitching set a @MLB record with 19 Ks in #WorldSeries Game 3. https://t.co/Wzu6QBSgC9
osheacolin,51317020,Dodgers,1056295125297577984,2018-10-27 21:22:37,0,0,False,@amysboyd I stayed up until 2:30am EST. I couldnt make it any further. Woke up cryin and cursin. Only took your trolley Dodgers 18 innings to best the Red Stockings by 1 run
rvabwk,400731557,Dodgers,1056295124555177985,2018-10-27 21:22:37,13,0,True,RT @BNightengale: #Dodgers manager Dave Roberts says hes already 3 cups of coffee deep and says no one on the field should feel tired today after 7 hours:   Its the World Series man. If you cant get up for this man youve got to find something else to do. Were fine.
savannahjeanx,3273892057,Dodgers,1056295124534145024,2018-10-27 21:22:37,10038,0,True,RT @Dodgers: #DodgersWIN!FINAL (18): #Dodgers 3 Red Sox 2 https://t.co/o5kUdwIGPc
