count,word
1002,better
1023,hearts
1027,yelling
1034,church
1043,walked
1072,injured
1080,everyone
1086,coverage
1090,every
1092,reportedly
1093,responders
1095,please
1096,saddened
1096,hear
1104,blaming
1112,theres
1129,human
1140,black
1147,shabbat
1170,evil
1187,way
1188,terrible
1199,$
1203,friends
1208,end
1226,stand
1252,dont
1270,stopped
1280,heart
1290,mornings
1299,still
1305,//t.co/8abdl6xrpv
1305,professionally-trained
1305,part-time
1306,sheltered
1309,stop
1311,beware
1327,unfolding
1331,pray
1337,remain
1356,americans
1365,determined
1369,deaths
1386,responding
1387,blames
1397,live
1425,safety
1429,situation
1442,take
1455,identified
1462,officials
1474,family
1477,took
1479,investigation
1501,city
1509,security
1530,media
1548,guard
1563,deadly
1566,anti-semitic
1572,im
1574,watching
1577,attack
1597,nation
1606,bris
1611,different
1671,die
1686,world
1686,little
1691,president
1698,looks
1703,enough
1714,leadership
1728,think
1835,morning
1840,todays
1842,control
1842,worship
1861,fatalities
1889,three
1890,another
1905,white
1946,killed
1948,send
1949,guns
1962,pennsylvania
1968,day
1983,vote
1984,bless
1992,anti-semitism
2017,3
2020,praying
2048,temple
2151,least
2155,first
2168,events
2170,said
2180,horrific
2254,love
2270,scene
2297,amp
2304,nra
2312,crime
2370,war
2417,active
2419,area
2450,time
2474,robert
2477,news
2496,laws
2504,weapon
2597,bowers
2666,wow
2688,need
2694,jews
2697,blamed
2719,god
2743,jewish
2840,inside
2863,violence
2876,ar-15
2888,tragedy
2892,8
2947,affected
3010,dead
3057,gunman
3085,place
3116,like
3138,literally
3151,members
3182,kind
3266,america
3297,...
3319,donald
3352,multiple
3362,says
3393,community
3411,mass
3498,families
3535,one
3727,hate
3816,breaking
3817,enforcement
3836,rifle
3863,must
3870,law
3982,protection
4039,--
4291,@
4332,assault
4753,suspect
5030,armed
5161,shooter
5255,today
5310,gun
5810,victims
6555,people
6597,shot
7036,trump
7048,squirrel
7253,officers
7565,tree
7629,police
7695,thoughts
7840,prayers
8846,hill
11465,life
22381,shooting
26083,pittsburgh
32637,synagogue
